預註冊閘門通過：DECISION_20260911_R460R_FIVE_REPLICATIONS_PREREG.md 授權 g_r460r1_harness_lcb2_b2
20 題（lcb2　offset=80　題序 [80, 100)）　輸出 runs/g_r460r1_harness_lcb2_b2
── 量具驗證（先答已知答案）
   範圍＝bank：對 lcb2 全 120 題裡有參考解的驗，本塊 20 題另外算出貨閘門覆蓋
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
   本塊出貨閘門覆蓋 20/20
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/20] 需求符合=True 接受=True 累計呼叫=1
  [CONFORM 1/20] 需求符合=True 接受=True 累計呼叫=1
  [OFF5 1/20] 需求符合=True 接受=True 累計呼叫=5
  [HPI 1/20] 需求符合=True 接受=True 累計呼叫=1
  [HOC 1/20] 需求符合=True 接受=True 累計呼叫=3
  [HMIX 1/20] 需求符合=True 接受=True 累計呼叫=1
  [OFF 2/20] 需求符合=False 接受=True 累計呼叫=2
  [CONFORM 2/20] 需求符合=False 接受=False 累計呼叫=6
  [OFF5 2/20] 需求符合=False 接受=True 累計呼叫=10
  [HPI 2/20] 需求符合=False 接受=False 累計呼叫=5
  [HOC 2/20] 需求符合=False 接受=True 累計呼叫=6
  [HMIX 2/20] 需求符合=True 接受=True 累計呼叫=3
  [OFF 3/20] 需求符合=False 接受=True 累計呼叫=3
  [CONFORM 3/20] 需求符合=True 接受=True 累計呼叫=7
  [OFF5 3/20] 需求符合=True 接受=True 累計呼叫=15
  [HPI 3/20] 需求符合=True 接受=True 累計呼叫=6
  [HOC 3/20] 需求符合=True 接受=True 累計呼叫=9
  [HMIX 3/20] 需求符合=True 接受=True 累計呼叫=4
  [OFF 4/20] 需求符合=False 接受=True 累計呼叫=4
  [CONFORM 4/20] 需求符合=False 接受=False 累計呼叫=12
  [OFF5 4/20] 需求符合=False 接受=True 累計呼叫=20
  [HPI 4/20] 需求符合=False 接受=True 累計呼叫=7
  [HOC 4/20] 需求符合=True 接受=True 累計呼叫=11
  [HMIX 4/20] 需求符合=True 接受=True 累計呼叫=6
  [OFF 5/20] 需求符合=False 接受=True 累計呼叫=5
  [CONFORM 5/20] 需求符合=True 接受=True 累計呼叫=14
  [OFF5 5/20] 需求符合=False 接受=True 累計呼叫=25
  [HPI 5/20] 需求符合=False 接受=False 累計呼叫=12
  [HOC 5/20] 需求符合=False 接受=False 累計呼叫=16
  [HMIX 5/20] 需求符合=True 接受=True 累計呼叫=7
  [OFF 6/20] 需求符合=True 接受=True 累計呼叫=6
  [CONFORM 6/20] 需求符合=True 接受=True 累計呼叫=15
  [OFF5 6/20] 需求符合=True 接受=True 累計呼叫=30
  [HPI 6/20] 需求符合=True 接受=True 累計呼叫=13
  [HOC 6/20] 需求符合=True 接受=True 累計呼叫=18
  [HMIX 6/20] 需求符合=True 接受=True 累計呼叫=8
  [OFF 7/20] 需求符合=True 接受=True 累計呼叫=7
  [CONFORM 7/20] 需求符合=True 接受=True 累計呼叫=16
  [OFF5 7/20] 需求符合=True 接受=True 累計呼叫=35
  [HPI 7/20] 需求符合=True 接受=True 累計呼叫=14
  [HOC 7/20] 需求符合=True 接受=True 累計呼叫=20
  [HMIX 7/20] 需求符合=True 接受=True 累計呼叫=9
  [OFF 8/20] 需求符合=False 接受=True 累計呼叫=8
  [CONFORM 8/20] 需求符合=False 接受=True 累計呼叫=17
  [OFF5 8/20] 需求符合=False 接受=True 累計呼叫=40
  [HPI 8/20] 需求符合=False 接受=True 累計呼叫=15
  [HOC 8/20] 需求符合=False 接受=True 累計呼叫=23
  [HMIX 8/20] 需求符合=False 接受=True 累計呼叫=10
  [OFF 9/20] 需求符合=True 接受=True 累計呼叫=9
  [CONFORM 9/20] 需求符合=True 接受=True 累計呼叫=18
  [OFF5 9/20] 需求符合=True 接受=True 累計呼叫=45
  [HPI 9/20] 需求符合=True 接受=True 累計呼叫=16
  [HOC 9/20] 需求符合=True 接受=True 累計呼叫=25
  [HMIX 9/20] 需求符合=True 接受=True 累計呼叫=11
